measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Estonia,Female,25 to 29,Road injuries,Number,2014,1.7616073774681742,2.2504286084914407,1.3371969011159572
Deaths,Estonia,Male,30 to 34,Road injuries,Number,2014,5.28449472161028,6.596803807357773,4.066946113946111
Deaths,Estonia,Female,30 to 34,Road injuries,Number,2014,1.5779955809964894,2.012716933759153,1.180839138054848
Deaths,Estonia,Male,35 to 39,Road injuries,Number,2014,4.663792379514365,5.922691149884061,3.63415118614854
Deaths,Estonia,Female,35 to 39,Road injuries,Number,2014,1.327884234906846,1.710587672263777,0.9972438713719071
Deaths,Estonia,Male,40 to 44,Road injuries,Number,2014,4.776918452789722,5.961384195740996,3.7649188885538103
Deaths,Estonia,Female,40 to 44,Road injuries,Number,2014,1.2078864786586687,1.5407000194947484,0.9150905064126267
Deaths,Estonia,Male,45 to 49,Road injuries,Number,2014,4.872865987626417,6.101525261945508,3.83880756154384
Deaths,Estonia,Female,45 to 49,Road injuries,Number,2014,1.3909972199728227,1.834557264648661,1.0394680355879946
Deaths,Estonia,Male,50 to 54,Road injuries,Number,2014,5.092745644178582,6.344911160204534,4.150893269885677
Deaths,Estonia,Female,50 to 54,Road injuries,Number,2014,1.6358814194885614,2.0774273280128166,1.2773309745520471
Deaths,Estonia,Male,55 to 59,Road injuries,Number,2014,5.126546266960534,6.279191221353936,4.173969002106927
Deaths,Estonia,Female,55 to 59,Road injuries,Number,2014,2.3434504617525542,3.0126398468512945,1.8201013876482208
Deaths,Estonia,Male,60 to 64,Road injuries,Number,2014,5.013868275995247,6.0247678236878155,4.126432728478622
Deaths,Estonia,Female,60 to 64,Road injuries,Number,2014,2.0163116226964775,2.498771149050749,1.5771162248910338
Deaths,Estonia,Male,65 to 69,Road injuries,Number,2014,3.4633990405313395,4.192213308544478,2.816046850031487
Deaths,Estonia,Female,65 to 69,Road injuries,Number,2014,1.8397510142662756,2.321587635077233,1.4505545049969046
Deaths,Estonia,Male,70 to 74,Road injuries,Number,2014,2.7709937621866785,3.473577954450713,2.2385153716729143
Deaths,Estonia,Female,70 to 74,Road injuries,Number,2014,2.1547975036367006,2.7984225455990823,1.6525595338949204
Deaths,Estonia,Male,75 to 79,Road injuries,Number,2014,2.7496005978344,3.417652969460092,2.197450129511789
Deaths,Estonia,Female,75 to 79,Road injuries,Number,2014,2.4332757449509304,3.136787700343995,1.801192186837274
Deaths,Estonia,Male,80 plus,Road injuries,Number,2014,2.949101955506537,3.5590573670461265,2.4150829247869927
Deaths,Estonia,Female,80 plus,Road injuries,Number,2014,3.610145494359067,4.440336397789519,2.8778817231141103
Deaths,Estonia,Male,All Ages,Road injuries,Number,2014,63.98852946086217,69.30648905576706,59.33323552442056
Deaths,Estonia,Female,All Ages,Road injuries,Number,2014,27.559981898194543,30.481010557530176,24.780616389330753
Deaths,Croatia,Male,20 to 24,Road injuries,Number,2014,30.558305914018543,33.861822913141694,27.470687271082625
Deaths,Croatia,Female,20 to 24,Road injuries,Number,2014,5.459365639287929,6.472523212508778,4.542559177816285
Deaths,Croatia,Male,25 to 29,Road injuries,Number,2014,25.918791503578685,29.25913664260352,22.62373534398967
Deaths,Croatia,Female,25 to 29,Road injuries,Number,2014,4.46603479999539,5.584975702871367,3.474813510026667
Deaths,Croatia,Male,30 to 34,Road injuries,Number,2014,24.109047475223466,28.048303801280618,20.6893626792884
Deaths,Croatia,Female,30 to 34,Road injuries,Number,2014,3.823326974652585,4.811176415067443,2.9708668166003074
Deaths,Croatia,Male,35 to 39,Road injuries,Number,2014,22.75430082504655,26.68861997531018,19.190468595044322
Deaths,Croatia,Female,35 to 39,Road injuries,Number,2014,4.374844113207852,5.623330567079152,3.3013556138475257
Deaths,Croatia,Male,40 to 44,Road injuries,Number,2014,18.61098008748661,22.21888680437362,15.41550537198534
Deaths,Croatia,Female,40 to 44,Road injuries,Number,2014,3.610168164912963,4.571636118809643,2.8140518292825303
Deaths,Croatia,Male,45 to 49,Road injuries,Number,2014,22.313266079139623,26.66236609215703,18.45653645167804
Deaths,Croatia,Female,45 to 49,Road injuries,Number,2014,4.748274693423801,6.122389778886221,3.684258862155023
Deaths,Croatia,Male,50 to 54,Road injuries,Number,2014,24.15960283060635,28.3053555512473,20.22215439620419
Deaths,Croatia,Female,50 to 54,Road injuries,Number,2014,5.076582663319034,6.564616408355794,3.879739163397714
Deaths,Croatia,Male,55 to 59,Road injuries,Number,2014,23.91193963399669,28.38735887041592,19.740274345970818
Deaths,Croatia,Female,55 to 59,Road injuries,Number,2014,5.8424692748317995,7.342948629794824,4.502344262766459
Deaths,Croatia,Male,60 to 64,Road injuries,Number,2014,19.497978339093393,23.4747126050831,16.099955630585686
Deaths,Croatia,Female,60 to 64,Road injuries,Number,2014,6.5834442106230675,8.244925607106389,5.163939700620263
Deaths,Croatia,Male,65 to 69,Road injuries,Number,2014,15.00669568286829,18.12147930316342,12.157912836322732
Deaths,Croatia,Female,65 to 69,Road injuries,Number,2014,6.589792372287652,8.269539917433862,5.113998763553674
Deaths,Croatia,Male,70 to 74,Road injuries,Number,2014,16.169013051350962,20.031216627914628,13.132199518654971
Deaths,Croatia,Female,70 to 74,Road injuries,Number,2014,8.753335827706882,11.076167080857706,6.8031362516730995
Deaths,Croatia,Male,75 to 79,Road injuries,Number,2014,17.91911628985387,21.46874205520218,14.748831090982947
Deaths,Croatia,Female,75 to 79,Road injuries,Number,2014,11.03314859488054,13.85074167811481,8.82871658319001
Deaths,Croatia,Male,80 plus,Road injuries,Number,2014,20.660825048743007,24.06636140286951,17.428792779024914
Deaths,Croatia,Female,80 plus,Road injuries,Number,2014,15.05937796979068,17.75039768740066,12.491170454721551
Deaths,Croatia,Male,All Ages,Road injuries,Number,2014,306.8222766939494,323.24335233024317,292.2966493044502
Deaths,Croatia,Female,All Ages,Road injuries,Number,2014,94.49752523466908,102.75386979163656,87.42728545864992
Deaths,Republic of Moldova,Male,All Ages,Road injuries,Number,2013,370.78049530190606,389.7236683343328,353.37517047609253
Deaths,Republic of Moldova,Female,All Ages,Road injuries,Number,2013,99.16488830164651,106.23326431262652,92.80447019992769
Deaths,San Marino,Male,20 to 24,Road injuries,Number,2013,0.2160420903737111,0.3308228305400256,0.1447170191065455
Deaths,San Marino,Female,20 to 24,Road injuries,Number,2013,0.05241411636786854,0.07509127920560765,0.03365534002365835
Deaths,San Marino,Male,25 to 29,Road injuries,Number,2013,0.1631522245394953,0.26116487396210114,0.10735101858171502
Deaths,San Marino,Female,25 to 29,Road injuries,Number,2013,0.03723028675383505,0.05784257230975281,0.02161925963870073
Deaths,San Marino,Male,30 to 34,Road injuries,Number,2013,0.1296260561716846,0.2129818391057558,0.0792931852618382
Deaths,San Marino,Female,30 to 34,Road injuries,Number,2013,0.030222783515395073,0.050783222228297155,0.016750085699200883
Deaths,San Marino,Male,35 to 39,Road injuries,Number,2013,0.11890562711140415,0.18943792174486054,0.06896924385353695
Deaths,San Marino,Female,35 to 39,Road injuries,Number,2013,0.03123795027581158,0.05181932169951405,0.01803213875521667
Deaths,San Marino,Male,40 to 44,Road injuries,Number,2013,0.11365713378028616,0.1907774302250391,0.0648164792032949
Deaths,San Marino,Female,40 to 44,Road injuries,Number,2013,0.03237115599144853,0.05492292448300895,0.017391403846955474
Deaths,San Marino,Male,45 to 49,Road injuries,Number,2013,0.11402562838814324,0.18750285962378344,0.06285522784835111
Deaths,San Marino,Female,45 to 49,Road injuries,Number,2013,0.03417245409063578,0.056090825461191464,0.01878943836122738
Deaths,San Marino,Male,50 to 54,Road injuries,Number,2013,0.10167177138613981,0.16794624328436825,0.0539894525631558
Deaths,San Marino,Female,50 to 54,Road injuries,Number,2013,0.030528339884124154,0.05236607697279532,0.016585539074417555
Deaths,San Marino,Male,55 to 59,Road injuries,Number,2013,0.09234225256725034,0.14934000045868762,0.050695457109901594
Deaths,San Marino,Female,55 to 59,Road injuries,Number,2013,0.02804782732861446,0.04650039529074902,0.01532558487109368
Deaths,San Marino,Male,60 to 64,Road injuries,Number,2013,0.09192853755422488,0.14446073604747234,0.05284981947593367
Deaths,San Marino,Female,60 to 64,Road injuries,Number,2013,0.030820985389660407,0.05479886996705941,0.016523712749945494
Deaths,San Marino,Male,65 to 69,Road injuries,Number,2013,0.09571391954894506,0.15640687721447805,0.051179619064868065
Deaths,San Marino,Female,65 to 69,Road injuries,Number,2013,0.038197343376243635,0.0664231330180106,0.020954120271391045
Deaths,San Marino,Male,70 to 74,Road injuries,Number,2013,0.10284491999333378,0.1616905974530638,0.05804195131833841
Deaths,San Marino,Female,70 to 74,Road injuries,Number,2013,0.04660869631436956,0.08279645107040556,0.024976013021686384
Deaths,San Marino,Male,75 to 79,Road injuries,Number,2013,0.12368463717463707,0.19169732838374962,0.07529629781776605
Deaths,San Marino,Female,75 to 79,Road injuries,Number,2013,0.06076165899667037,0.10248005109539332,0.033421375918611405
Deaths,San Marino,Male,80 plus,Road injuries,Number,2013,0.27039068772871616,0.3916414772788163,0.1824318305694743
Deaths,San Marino,Female,80 plus,Road injuries,Number,2013,0.13906626164122451,0.19837167045473206,0.09295932299600682
Deaths,San Marino,Male,All Ages,Road injuries,Number,2013,1.9413855616236038,2.7264617327802556,1.306975274055193
Deaths,San Marino,Female,All Ages,Road injuries,Number,2013,0.6744042017763996,0.9686658728329793,0.4641838606721253
Deaths,Lithuania,Male,20 to 24,Road injuries,Number,2014,28.627789623746782,33.07931228804528,24.529155246035366
Deaths,Lithuania,Female,20 to 24,Road injuries,Number,2014,4.448701197514309,5.465002887033893,3.5086542097517928
Deaths,Lithuania,Male,25 to 29,Road injuries,Number,2014,23.091988153088824,27.2358687167894,19.492370873123757
Deaths,Lithuania,Female,25 to 29,Road injuries,Number,2014,3.8425144752649656,4.926815278470167,2.8989597533478277
Deaths,Lithuania,Male,30 to 34,Road injuries,Number,2014,18.42160573680402,21.832390475801045,15.406974548819067
Deaths,Lithuania,Female,30 to 34,Road injuries,Number,2014,3.391115205840129,4.27459212529056,2.5789020714591224
Deaths,Lithuania,Male,35 to 39,Road injuries,Number,2014,16.90775472912908,20.284686788201036,13.878054546047105
